title,url,company,location,salary,posted,snippets
8274 - Exposition Park Director (Expo),https://www.indeed.com/rc/clk?jk=4fd1e804fa32f2b8&fccid=dccdf375f38960c6&vjs=3,"Jackson County, OR","Medford, OR","$112,382 - $143,416 a year",30+ days ago,"Requires possession of a valid driver’s license and an acceptable driving record. / Regular part-time employees may enroll in the full plan, with a prorated…"
Training and Development Specialist- Business Office- Full time,https://www.indeed.com/rc/clk?jk=44d43dc35ff89759&fccid=8a4750121a6ff470&vjs=3,Grange Co-op,"White City, OR 97503","$60,500 - $78,500 a year",8 days ago,"In the role of a Training and Development Specialist, you will assess company-wide training and development needs, to create and implement training programs."
Restaurant Server (Mornings & Evenings),https://www.indeed.com/rc/clk?jk=8bec64a9f84a23fa&fccid=e9a9b021c8db6a59&vjs=3,Rogue Regency Inn,"Medford, OR 97504","",30+ days ago,"This is for both full-time and part-time positions. / Must have 2 years of serving experience, be dependable, and have excellent customer service skills."
Secretary - 8.0 Hours - North Medford High School,https://www.indeed.com/rc/clk?jk=ac883ad928a384f0&fccid=e4fd80e177eb9d04&vjs=3,"Medford School District, 549C","Medford, OR 97504","",8 days ago,"Performs general office duties, including answering multi-line phones, greeting the public, typing, filing, copying, sorting, and handling incoming and outgoing…"
Rever Grand-Administrative Team Member,https://www.indeed.com/rc/clk?jk=41f5d667831cc80f&fccid=0dbf09754b47da20&vjs=3,"Rever Grand, Inc","Grants Pass, OR 97526",$22 an hour,8 days ago,"Ability to read, understand and gather information through phone calls while typing. / Excellent customer service with employees and external contacts."
Groundskeeper,https://www.indeed.com/rc/clk?jk=b5d356a5aa6c5029&fccid=e4fd80e177eb9d04&vjs=3,"Medford School District, 549C","Medford, OR 97501","",14 days ago,"Certificates, Licenses, Registrations: As determined by the District, including valid Oregon driver's license. / Builds forms, mixes, and pours concrete."
Patient Service Rep 1 ARRMC (Cancer Center),https://www.indeed.com/rc/clk?jk=6f2f06a24792d819&fccid=c183e377c8e301c6&vjs=3,Asante Health System,"Medford, OR 97504","",8 days ago,"What We Offer for Full-time and Part-time Positions. / Duties may include all or part of the following: Greeting, instructing, directing patients and visitors;…"
Procedural Scheduler,https://www.indeed.com/rc/clk?jk=5b9d1a49def67fce&fccid=84c8ed4c8205d753&vjs=3,Providence,"Medford, OR 97504","",8 days ago,"This is 1 FTE Full time, Day shift position. / Develops and maintains the staffing schedules and call schedule, including the input of approved time off."
title,url,company,location,salary,posted,snippets
House Cleaner,https://www.indeed.com/company/Graceworks-Housecleaning-Services/jobs/House-Cleaner-92f1b5dd25befc83?fccid=8f97522c64c3d1c2&vjs=3,GraceWorks Housecleaning Services,"White City, OR",Up to $720 a week,"Posted
Today","$2/hr extra pay for all moveout, deep, market-ready, post-construction, and vacation rental cleanings! / We pay an extra $2/hr for deep cleans and moveouts."
AMS Assistant Head Custodian; 1.0 FTE; Probationary,https://www.indeed.com/rc/clk?jk=f76265b8502fa282&fccid=ec0e82198522845f&vjs=3,Ashland School District,"Ashland, OR 97520",$17.72 - $18.73 an hour,1 day ago,Certificates as determined by the District including a current valid Oregon Drivers license and ability to obtain a valid CPR/First Aid card.
Purchasing Clerk,https://www.indeed.com/rc/clk?jk=b2c947e3e6ff4ca3&fccid=4d8291ab0f3820fc&vjs=3,Knife River Materials - Southern Oregon Division,"Medford, OR","",2 days ago,"Valid driver's license with good driving record,. / Full time position with full benefit package. / 2 years of purchasing and inventory experience, preferably in a…"
Laundry Attendant (Full Time),https://www.indeed.com/rc/clk?jk=92842b174d3f5e32&fccid=e9a9b021c8db6a59&vjs=3,Rogue Regency Inn,"Medford, OR 97504","",30+ days ago,Must be able to lift 20 pounds on a consistent basis. / Sort all linens and treat stains. / Load all laundry into washer and add specified cleaning agents.
Teller,https://www.indeed.com/rc/clk?jk=696cfd1c50ce3416&fccid=ccda8f098735e682&vjs=3,Northwest Community Credit Union,"Medford, OR",$17.81 - $22.26 an hour,30+ days ago,"Northwest Community Credit Union, a division of TwinStar Credit Union is looking for a full-time Teller to join their team! / Full-time Regular, Non-Exempt."
Courier/Package Delivery (Lab Outreach),https://www.indeed.com/rc/clk?jk=51467a20cadceb20&fccid=c183e377c8e301c6&vjs=3,Asante Health System,"Medford, OR 97504",From $16 an hour,7 days ago,Possession of a valid Driver's License with proof of safe driving record for the past ten years and proof of auto insurance is required.
Receptionist,https://www.indeed.com/rc/clk?jk=42cb7709b48ca6f1&fccid=f75c0b3e575408cf&vjs=3,"Lithia Motors, Inc.","Medford, OR 97501",$16 an hour,22 days ago,Acceptable driving record and a valid driver's license in your state of residence necessary for select roles. / Previous receptionist experience is a plus.
Program Support Assistant (OA),https://www.indeed.com/rc/clk?jk=4ab18ee88005512e&fccid=02c3642d72b15da7&vjs=3,US Veterans Health Administration,"White City, OR 97503","$46,696 - $60,703 a year",4 days ago,"Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent."
(2) Assistant Watermaster,https://www.indeed.com/rc/clk?jk=4da0d696525dddcc&fccid=2965bfd41b348db1&vjs=3,Water Resources Department,"Grants Pass, OR","$4,356 - $6,664 a month","Posted
Today","These positions require a valid drivers license and acceptable driving record. / Optional benefits (such as term life insurance, long-term and short-term…"
Medical Front Office,https://www.indeed.com/rc/clk?jk=bfa92c72919c9924&fccid=be9224d50e3eaf0d&vjs=3,Jackson County Physical Therapy,"Medford, OR 97504","",30+ days ago,The right candidate will possess excellent customer service skills and an ability to quickly master all aspects of the position. / Job Type: Full or Part-Time.
Custodian,https://www.indeed.com/rc/clk?jk=954ae1b3134ec3d7&fccid=aff1926404ce2438&vjs=3,Peterson Holding Company,"Medford, OR","",18 days ago,Must maintain a Valid Drivers license and reliable mode of transportation to travel between locations daily. / Management may assign or reassign the functions to…
Remote Coding Associate 2,https://www.indeed.com/rc/clk?jk=f0006b4734283398&fccid=c183e377c8e301c6&vjs=3,Asante Health System,"Remote in Medford, OR 97501",$23.29 - $29.11 an hour,30+ days ago,The typical starting range for the Coding Associate 2 is $23.29 - $29.11/hour and up (based on qualifications and years of relevant experience).
Dispatch Sales Support,https://www.indeed.com/rc/clk?jk=ad41f24f99685dd3&fccid=8c0b1057f2733166&vjs=3,"Combined Transport, Inc.","Central Point, OR 97502","$2,700 - $2,900 a month",9 days ago,Only full-time employees eligible. / Personal protective equipment provided or required. / Social distancing guidelines in place.
Information Technology Specialist (Tech Support Specialist),https://www.indeed.com/rc/clk?jk=d24ec778e826dffe&fccid=dd616958bd9ddc12&vjs=3,Judicial Department,"Medford, OR 97501","$7,358 - $11,415 a month",2 days ago,"This is a full-time position. / Optional employee-paid benefits include life insurance, long- and short-term disability, long-term care, flexible spending…"
8294 - Extra Help Temporary Laborer (Roads & Parks),https://www.indeed.com/rc/clk?jk=7b15708d4582312d&fccid=dccdf375f38960c6&vjs=3,"Jackson County, OR","Medford, OR",$18.73 - $25.04 an hour,21 days ago,Special Requirements: Possession of a valid Oregon Driver’s license and a good driving record. / Possession of a valid Flagger’s Certification Card and a valid…
title,url,company,location,salary,posted,snippets
Office Manager,https://www.indeed.com/company/Graceworks-Housecleaning-Services/jobs/Office-Manager-facd537aafc39bf8?fccid=8f97522c64c3d1c2&vjs=3,GraceWorks Housecleaning Services,"White City, OR",Up to $22 an hour,"Posted
Today","Starting pay of $22, with a potential $1-2 raise after a year. / For over 15 years, we've championed eco-friendly practices in residential cleaning and have been…"
Return Agent Full Time Medford Airport,https://www.indeed.com/rc/clk?jk=7992157ec88735c4&fccid=97de6e3bf84e8d35&vjs=3,Enterprise Holdings,"Medford, OR 97504",$17.50 - $22.50 an hour,14 days ago,Must have a valid drivers license with no more than 2 moving violations and/or at-fault accidents on driving record in the past 3 years.
Custodian I - Multiple Locations,https://www.indeed.com/rc/clk?jk=022c440f45bbd4ec&fccid=e4fd80e177eb9d04&vjs=3,"Medford School District, 549C","Medford, OR 97501","",2 days ago,"Certificates, Licenses, Registrations: Certificates as determined necessary by the District, including a valid Oregon driver's license and asbestos training."
8242 - Records Clerk (Sheriff),https://www.indeed.com/rc/clk?jk=5986453115807145&fccid=dccdf375f38960c6&vjs=3,"Jackson County, OR","Medford, OR",$19.53 - $23.74 an hour,30+ days ago,Requires possession of a valid driver’s license and an acceptable driving record. / Takes photographs of applicants applying for a concealed handgun license.
Social Service Assistant,https://www.indeed.com/rc/clk?jk=caf703b2c82465cf&fccid=12085f89e1b2bf51&vjs=3,Department of Human Services,"Medford, OR","$3,022 - $4,465 a month",30+ days ago,A valid driver’s license and acceptable driving record are required. / You will observe family time and take case notes. / Some travel may be hours away.
Entry-Level Production Technician,https://www.indeed.com/rc/clk?jk=d6ad134f20295a08&fccid=1e1f3ff04fee41c2&vjs=3,Timber Products Company,"Medford, OR 97501",$20.53 - $20.94 an hour,30+ days ago,"Must be able to learn to operate a variety of production machinery. / Previous manufacturing or wood products experience preferred, but not required."
Cemetery Caretaker,https://www.indeed.com/rc/clk?jk=f7a66439b93142c5&fccid=dd616958bd9ddc12&vjs=3,US National Cemetery Administration,"Eagle Point, OR 97524",$22.61 - $26.38 an hour,1 day ago,Must possess a valid state driver's license. / Must possess and maintain a valid state driver's license. / Eligibility for benefits depends on the type of position…
8310 - Office Specialist - Parts Clerk (Roads & Parks),https://www.indeed.com/rc/clk?jk=15464543376305aa&fccid=dccdf375f38960c6&vjs=3,"Jackson County, OR","Medford, OR",$18.73 - $25.04 an hour,8 days ago,"Requires possession of a valid driver’s license and an acceptable driving record. / Regular part-time employees may enroll in the full plan, with a prorated…"
"Groundman-Provisional (Local 659) - Medford, Oregon",https://www.indeed.com/rc/clk?jk=79936aa5bd07bbed&fccid=032ea88f092cd8dd&vjs=3,PacifiCorp,"Medford, OR 97501","",30+ days ago,"Note: This position is a full time provisional status that will accrue benefits equivalent to a regular employee including vacation, sick leave, medical…"
"Assistant Manager, Distribution - Medford, Oregon",https://www.indeed.com/rc/clk?jk=b32a34d6f81f6eed&fccid=032ea88f092cd8dd&vjs=3,PacifiCorp,"Medford, OR 97501","",30+ days ago,"Valid driver’s license is required. / Benefits: Health care, retirement, paid time off, tuition assistance, paid short-term and long-term disability, paid…"
Dealership Opportunities,https://www.indeed.com/rc/clk?jk=cc374f7326c99d12&fccid=f75c0b3e575408cf&vjs=3,"Lithia Motors, Inc.","Medford, OR 97504","",30+ days ago,"Acceptable driving record and a valid driver's license in your state of residence necessary for select roles. / Medical, Dental and Vision Plans."
Custodian II- Oakdale Middle School,https://www.indeed.com/rc/clk?jk=4e18a83e401969ab&fccid=e4fd80e177eb9d04&vjs=3,"Medford School District, 549C","Medford, OR 97501","",16 days ago,"Certificates, Licenses, Registrations: Certificates as determined necessary by the District, including valid Oregon driver's license and asbestos training."
Front Desk Service Agent (Full Time),https://www.indeed.com/rc/clk?jk=aa3d3b8498b1173d&fccid=e9a9b021c8db6a59&vjs=3,Rogue Regency Inn,"Medford, OR 97504","",30+ days ago,"Must be flexible and able to work weekends and holidays. / Must be at least 25 years of age, and a clean driving record are also required."
Retail Warehouse Associate,https://www.indeed.com/rc/clk?jk=868d3b8d57b36b65&fccid=027d7cca25a5d14f&vjs=3,Best Buy,"Medford, OR",$15.00 - $18.22 an hour,8 days ago,"When the situation calls for it, you’ll also directly assist customers and collaborate with other employees on the sales floor."
Full-Time Assistant Manager,https://www.indeed.com/rc/clk?jk=f6be3bb92df34ce8&fccid=d96c6845d1817ce8&vjs=3,"Cinemark USA, Inc","Medford, OR 97504","",30+ days ago,"Excellent time management, organizational skills, and attention to detail. / Be able to work in a standing position for extended periods of time."
title,url,company,location,salary,posted,snippets
Fixed Opportunities,https://www.indeed.com/rc/clk?jk=2f6977a4f25c8ac3&fccid=f75c0b3e575408cf&vjs=3,"Lithia Motors, Inc.","Medford, OR 97504","",30+ days ago,"Acceptable driving record and a valid driver's license in your state of residence necessary for select roles. / Medical, Dental and Vision Plans."
Office Assistant,https://www.indeed.com/rc/clk?jk=3d75104325d3de08&fccid=ec07258c5a5abaa2&vjs=3,Southern Oregon Goodwill Industries,"Medford, OR 97501",$17 - $20 an hour,10 days ago,The GoodWorks Office Assistant is responsible for providing exceptional customer service to Job Connection customers (job seekers) and is comfortable working…
Pizza Dough Prep – Day Shift,https://www.indeed.com/rc/clk?jk=ddbde0209a7af399&fccid=08ce801a4f0c72b7&vjs=3,Papa Murphy's,"Medford, OR 97504","",30+ days ago,"Completes other prep activities, such as cheese shredding. / Assists with customer service where required (Phones, pizza-making, POS)."
Customer Service Guide (Human Services Specialist 1) – Spanish language preferred,https://www.indeed.com/rc/clk?jk=c4eb49f81b1a328a&fccid=12085f89e1b2bf51&vjs=3,Department of Human Services,"White City, OR","$2,823 - $4,073 a month",30+ days ago,"If you make 120 qualifying payments on your student loan while working full-time for a qualifying employer, your student loan debt may be forgiven."
Advanced Medical Support Assistant,https://www.indeed.com/rc/clk?jk=cd6b710729f3b741&fccid=02c3642d72b15da7&vjs=3,US Veterans Health Administration,"White City, OR 97503","$46,220 - $60,082 a year",3 days ago,"Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent."
"Parts Delivery Driver - Medford, OR",https://www.indeed.com/rc/clk?jk=bf41e8146828c245&fccid=496635f9700bf6ec&vjs=3,Freightliner Northwest,"Medford, OR 97504","",30+ days ago,"Other: Must have valid driver’s license, be insurable and a clean driving record. / Ability to type and use computer tablet and/or keyboard, send and receive…"
Pizza Maker,https://www.indeed.com/rc/clk?jk=ad87eead7c6f3707&fccid=08ce801a4f0c72b7&vjs=3,Papa Murphy's,"Medford, OR 97501","",30+ days ago,Be in full uniform at the proper workstation at the designated time. / Gives the order to the guest within the 6-minute door to door service time.
8274 - Exposition Park Director (Expo),https://www.indeed.com/rc/clk?jk=4fd1e804fa32f2b8&fccid=dccdf375f38960c6&vjs=3,"Jackson County, OR","Medford, OR","$112,382 - $143,416 a year",30+ days ago,"Requires possession of a valid driver’s license and an acceptable driving record. / Regular part-time employees may enroll in the full plan, with a prorated…"
Training and Development Specialist- Business Office- Full time,https://www.indeed.com/rc/clk?jk=44d43dc35ff89759&fccid=8a4750121a6ff470&vjs=3,Grange Co-op,"White City, OR 97503","$60,500 - $78,500 a year",8 days ago,"In the role of a Training and Development Specialist, you will assess company-wide training and development needs, to create and implement training programs."
Restaurant Server (Mornings & Evenings),https://www.indeed.com/rc/clk?jk=8bec64a9f84a23fa&fccid=e9a9b021c8db6a59&vjs=3,Rogue Regency Inn,"Medford, OR 97504","",30+ days ago,"This is for both full-time and part-time positions. / Must have 2 years of serving experience, be dependable, and have excellent customer service skills."
Secretary - 8.0 Hours - North Medford High School,https://www.indeed.com/rc/clk?jk=ac883ad928a384f0&fccid=e4fd80e177eb9d04&vjs=3,"Medford School District, 549C","Medford, OR 97504","",8 days ago,"Performs general office duties, including answering multi-line phones, greeting the public, typing, filing, copying, sorting, and handling incoming and outgoing…"
Rever Grand-Administrative Team Member,https://www.indeed.com/rc/clk?jk=41f5d667831cc80f&fccid=0dbf09754b47da20&vjs=3,"Rever Grand, Inc","Grants Pass, OR 97526",$22 an hour,8 days ago,"Ability to read, understand and gather information through phone calls while typing. / Excellent customer service with employees and external contacts."
House Cleaner,https://www.indeed.com/company/Graceworks-Housecleaning-Services/jobs/House-Cleaner-92f1b5dd25befc83?fccid=8f97522c64c3d1c2&vjs=3,GraceWorks Housecleaning Services,"White City, OR",Up to $720 a week,"Posted
Today","$2/hr extra pay for all moveout, deep, market-ready, post-construction, and vacation rental cleanings! / We pay an extra $2/hr for deep cleans and moveouts."
Groundskeeper,https://www.indeed.com/rc/clk?jk=b5d356a5aa6c5029&fccid=e4fd80e177eb9d04&vjs=3,"Medford School District, 549C","Medford, OR 97501","",14 days ago,"Certificates, Licenses, Registrations: As determined by the District, including valid Oregon driver's license. / Builds forms, mixes, and pours concrete."
Patient Service Rep 1 ARRMC (Cancer Center),https://www.indeed.com/rc/clk?jk=6f2f06a24792d819&fccid=c183e377c8e301c6&vjs=3,Asante Health System,"Medford, OR 97504","",8 days ago,"What We Offer for Full-time and Part-time Positions. / Duties may include all or part of the following: Greeting, instructing, directing patients and visitors;…"
title,url,company,location,salary,posted,snippets
Procedural Scheduler,https://www.indeed.com/rc/clk?jk=5b9d1a49def67fce&fccid=84c8ed4c8205d753&vjs=3,Providence,"Medford, OR 97504","",8 days ago,"This is 1 FTE Full time, Day shift position. / It is our policy to recruit, hire, promote, compensate, transfer, train, retain, terminate, and make all other…"
AMS Assistant Head Custodian; 1.0 FTE; Probationary,https://www.indeed.com/rc/clk?jk=f76265b8502fa282&fccid=ec0e82198522845f&vjs=3,Ashland School District,"Ashland, OR 97520",$17.72 - $18.73 an hour,1 day ago,Certificates as determined by the District including a current valid Oregon Drivers license and ability to obtain a valid CPR/First Aid card.
Purchasing Clerk,https://www.indeed.com/rc/clk?jk=b2c947e3e6ff4ca3&fccid=4d8291ab0f3820fc&vjs=3,Knife River Materials - Southern Oregon Division,"Medford, OR","",2 days ago,"Valid driver's license with good driving record,. / Full time position with full benefit package. / If unable to apply online, mail completed application to HR…"
Laundry Attendant (Full Time),https://www.indeed.com/rc/clk?jk=92842b174d3f5e32&fccid=e9a9b021c8db6a59&vjs=3,Rogue Regency Inn,"Medford, OR 97504","",30+ days ago,Must be able to lift 20 pounds on a consistent basis. / Must be a fast pace worker and work well with others. / Sort all linens and treat stains.
Teller,https://www.indeed.com/rc/clk?jk=696cfd1c50ce3416&fccid=ccda8f098735e682&vjs=3,Northwest Community Credit Union,"Medford, OR",$17.81 - $22.26 an hour,30+ days ago,"Northwest Community Credit Union, a division of TwinStar Credit Union is looking for a full-time Teller to join their team! / Full-time Regular, Non-Exempt."
Courier/Package Delivery (Lab Outreach),https://www.indeed.com/rc/clk?jk=51467a20cadceb20&fccid=c183e377c8e301c6&vjs=3,Asante Health System,"Medford, OR 97504",From $16 an hour,7 days ago,Possession of a valid Driver's License with proof of safe driving record for the past ten years and proof of auto insurance is required.
Receptionist,https://www.indeed.com/rc/clk?jk=42cb7709b48ca6f1&fccid=f75c0b3e575408cf&vjs=3,"Lithia Motors, Inc.","Medford, OR 97501",$16 an hour,22 days ago,Acceptable driving record and a valid driver's license in your state of residence necessary for select roles. / Previous receptionist experience is a plus.
Program Support Assistant (OA),https://www.indeed.com/rc/clk?jk=4ab18ee88005512e&fccid=02c3642d72b15da7&vjs=3,US Veterans Health Administration,"White City, OR 97503","$46,696 - $60,703 a year",4 days ago,"Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent. / How You Will Be Evaluated."
(2) Assistant Watermaster,https://www.indeed.com/rc/clk?jk=4da0d696525dddcc&fccid=2965bfd41b348db1&vjs=3,Water Resources Department,"Grants Pass, OR","$4,356 - $6,664 a month","Posted
Today","These positions require a valid drivers license and acceptable driving record. / Optional benefits (such as term life insurance, long-term and short-term…"
Medical Front Office,https://www.indeed.com/rc/clk?jk=bfa92c72919c9924&fccid=be9224d50e3eaf0d&vjs=3,Jackson County Physical Therapy,"Medford, OR 97504","",30+ days ago,Interested in the ideal outpatient PT job at a “Top 100 Best Companies To Work For”? / Or perhaps the “Favorite Physical Therapy Clinic” in Southern Oregon?
Custodian,https://www.indeed.com/rc/clk?jk=954ae1b3134ec3d7&fccid=aff1926404ce2438&vjs=3,Peterson Holding Company,"Medford, OR","",18 days ago,"Must maintain a Valid Drivers license and reliable mode of transportation to travel between locations daily. / It’s your time, make it matter."
Remote Coding Associate 2,https://www.indeed.com/rc/clk?jk=f0006b4734283398&fccid=c183e377c8e301c6&vjs=3,Asante Health System,"Remote in Medford, OR 97501",$23.29 - $29.11 an hour,30+ days ago,The typical starting range for the Coding Associate 2 is $23.29 - $29.11/hour and up (based on qualifications and years of relevant experience).
Dispatch Sales Support,https://www.indeed.com/rc/clk?jk=ad41f24f99685dd3&fccid=8c0b1057f2733166&vjs=3,"Combined Transport, Inc.","Central Point, OR 97502","$2,700 - $2,900 a month",9 days ago,Only full-time employees eligible. / Combined Transport is a family run organization that provides an atmosphere that is centered on team building and camaraderie…
Information Technology Specialist (Tech Support Specialist),https://www.indeed.com/rc/clk?jk=d24ec778e826dffe&fccid=dd616958bd9ddc12&vjs=3,Judicial Department,"Medford, OR 97501","$7,358 - $11,415 a month",2 days ago,"This is a full-time position. / Optional employee-paid benefits include life insurance, long- and short-term disability, long-term care, flexible spending…"
8294 - Extra Help Temporary Laborer (Roads & Parks),https://www.indeed.com/rc/clk?jk=7b15708d4582312d&fccid=dccdf375f38960c6&vjs=3,"Jackson County, OR","Medford, OR",$18.73 - $25.04 an hour,21 days ago,Special Requirements: Possession of a valid Oregon Driver’s license and a good driving record. / Possession of a valid Flagger’s Certification Card and a valid…
title,url,company,location,salary,posted,snippets
Office Manager,https://www.indeed.com/company/Graceworks-Housecleaning-Services/jobs/Office-Manager-facd537aafc39bf8?fccid=8f97522c64c3d1c2&vjs=3,GraceWorks Housecleaning Services,"White City, OR",Up to $22 an hour,"Posted
Today","Starting pay of $22, with a potential $1-2 raise after a year. / For over 15 years, we've championed eco-friendly practices in residential cleaning and have been…"
